PAÍS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 r/,2022 p/,2023 p/
,,,,,,,,,,,,,,,,,,,,,,,,
América,157.0,160.9,241.7,268.5,371.9,463.8,562.5,752.3,610.8,310.1,597.8,658.4,684.1,720.3,1108.0,977.5,761.5,1021.6,506.2,468.4,523.7,698.8,688.917375576918,650.0503695056777
Norteamérica,118.0,122.9,193.8,220.5,306.4,365.4,484.3,691.3,530.4,220.0,467.6,482.2,496.8,507.5,687.5,418.2,144.7,786.5,99.0,106.6,222.8,72.8,70.4775680569702,12.681431176393161
Estados Unidos de América,99.7,97.6,171.0,195.2,191.6,303.6,339.2,460.2,448.8,91.5,184.9,141.4,173.2,127.5,-256.1,139.7,-3.6,564.2,-15.4,-42.5,247.6,109.5,110.43303166625616,-43.28692043595708
Canadá,18.1,18.7,21.6,21.7,78.7,16.8,107.3,139.0,51.2,-39.2,158.9,186.9,132.1,114.3,803.4,140.4,-12.5,3.5,-1.9,8.7,0.4,2.7,-53.22444657543812,-20.398333379943615
México,0.2,6.6,1.2,3.6,36.1,45.0,37.8,92.1,30.4,167.7,123.8,153.9,191.5,265.7,140.2,138.1,160.8,218.8,116.3,140.4,-25.2,-39.4,13.268982966152164,76.36668499229386
Centroamérica,38.0,29.8,37.5,18.3,39.0,53.9,60.2,38.9,58.1,33.8,98.3,119.9,116.8,109.5,130.9,104.4,206.4,57.7,83.5,110.4,89.3,160.3,103.6415981372657,109.71505936332485
Guatemala,11.4,6.3,9.7,2.5,9.0,25.2,16.5,15.4,44.4,13.8,60.7,43.7,51.5,37.1,87.8,59.5,158.1,55.8,39.7,120.6,72.4,133.4,42.89040641108092,63.88203499536816
El Salvador,9.7,-1.2,15.0,6.7,17.7,26.1,28.5,8.5,2.6,10.5,17.4,20.9,24.8,26.2,21.9,15.5,20.3,4.6,16.6,25.5,3.2,15.7,41.274724795746195,22.950149003879943
Nicaragua,3.2,19.5,8.3,4.7,5.7,5.0,13.1,7.2,8.6,3.3,3.7,10.3,2.9,3.9,18.0,26.5,23.7,3.5,8.0,5.8,12.0,11.0,12.640378166086174,18.969960690523827
Costa Rica,13.7,5.2,4.5,4.4,6.6,-2.4,2.1,7.8,2.5,6.2,16.5,45.0,37.6,42.3,3.2,3.0,4.2,-6.1,19.3,-41.6,1.6,0.1,6.836088764352416,3.9129146735529274
Caribe,0.4,2.0,11.1,9.9,4.8,23.5,1.8,0.0,5.9,55.5,17.8,20.9,27.3,4.8,5.2,125.6,36.7,-19.3,52.1,58.3,23.0,151.7,101.9743383282318,132.77800884398533
Bahamas,0.4,2.0,11.1,9.9,4.8,23.5,1.8,0.0,5.9,32.4,7.0,8.5,9.2,10.4,0.2,61.0,19.5,-6.4,2.6,1.1,-0.2,3.4,2.67993991436013,14.835205719624685
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.7,2.9,-2.9,-3.7,2.9,16.110907569531193,4.038649206618956
Bermudas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,11.2,12.3,15.2,16.0,4.8,41.8,10.5,-23.7,33.4,33.0,24.8,74.5,89.30465698187228,37.18807583904668
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-10.5,3.3,0.2736645254735069,0.0
Islas Caimán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-3.4,8.5,3.5,13.7,15.168013293740255,27.007888445842294
Islas Vírgenes Británicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,2.8,-21.7,0.2,22.8,6.0,3.8,12.3,12.3,2.911149336966667,49.1,-33.62971484019069,40.8259437848056
República Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,7.9,4.3,4.8,6.2,4.8,12.066870883445109,8.882245848047091
Resto de América,0.6,6.2,-0.7,19.8,21.7,21.0,16.2,22.1,16.4,0.8,14.1,35.4,43.2,98.5,284.4,329.3,373.7,196.7,271.6,193.1,188.6,314.0,412.8238710544503,394.8758701219744
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.9,-0.7,0.0,0.0,-0.4,-0.2313008697405161,0.008541985305364305
Brasil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.9,0.0,1.9,28.2,-15.9,0.3,-23.0,9.5,-0.4496938532979132,0.33734719465859275
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.4,-0.2,0.0,0.0,1.0085862804111119,0.12021184682413504
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,19.5,21.5,31.4,128.3,97.0,98.6,30.5,105.8,104.5,156.3,169.1,170.47421994828613,224.40644044054727
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.6,-6.7,0.0,0.0,2.1,1.7770893730075938,1.400756753446604
Panamá,0.6,6.2,-0.7,19.8,21.7,21.0,16.2,22.1,16.4,0.9,14.1,15.9,21.7,63.3,152.2,232.3,272.7,156.3,187.8,89.4,56.0,132.0,238.8526674215382,167.02590294229657
Perú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4,0.0,-0.4,-0.3,1.9,-0.4203378997384589,1.5734738838144706
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,-0.2,-0.5,-0.3,-0.2,1.8126406539841464,0.003195075081340426
